document,chunk,text,question
tdd-&-generative-ai---a-perfect-pairing?,0,"In this talk we will dive into the question whether generative AI can generate working code when we only provide test cases. So we take the main principle from TDD: we write the tests up front. Then we use a generative AI to create the code. If you wrote the tests correctly and they all pass, you should have a working prototype. Even better, if the tests pass and you trust the tests, the code is production ready!With some live coding, we will explore this idea together. Furthermore we will take a look at the implications of this paradigm shift. After attending you should be able to apply this technique to your own project.",What is the process of using generative AI to create code based on predefined test cases?
getting-unstuck-in-levelling-up---patterns-for-personal-development,0,"As a software engineer, you commit to a lifetime of learning. The IT world evolves so fast, and there is much unknown in the young field of software engineering.How can you keep learning and growing? You might feel overwhelmed by all the available information around you. Or maybe you think you know it all? Or do you feel like an imposter at work, because there is so much you still don't know? These thoughts are not helpful if you want to continue learning and leveling up. It would help if you saw how far you have come in your learning journey and what steps you still need to take.In this talk, I will show different ways of looking at your level of seniority and how those different views can be helpful. I'll also share some important values and principles for continuous learning. Additionally, I will discuss some behavioral patterns that you can use to level up your skills. I'll touch upon themes like the Growth Mindset, Learning from peers, Unlearning old views, Creating a",How can software engineers continuously improve and advance their skills in a rapidly evolving industry?
debugging-the-mind:-sharpen-your-problem-solving-skills,0,"Whether you're building the next big feature, optimizing performance, or squashing that stubborn bug, problem solving is at the heart of our profession. But coding is just one part of the equation—navigating challenges within your team and project is equally crucial. So when was the last time you consciously applied problem-solving techniques? Do you ever find your mind needs debugging in order to be effective? It’s time to sharpen your problem-solving skills and take them to the next level.On top of some ground work regarding frameworks and theories Marianne will help you uncover your own strengths and weaknesses. She’ll dive into common traps that developers face and explore practical strategies for deploying your problem-solving skills effectively. Whether you’re a seasoned pro or newer to Java, this session will provide valuable insights and actionable techniques that you can bring back to your codebase and your team.",What is emphasized as equally important to coding in a developer's work according to the text?
the-pitfalls-of-starting-a-big-project-without-the-right-experience,0,"So, a bit more than a year ago I came in to a new team that just started on a new big project. Using technologies that where new to them and me. So I did a course on the framework Spring Boot to get an understanding and it thought us to use technical packaging. This is fine for a small service, but after a year of new features. It became a mess. How can we fix it?In this talk I’ll share my experience on what went wrong, what we did to fix it and steps to prevent it.","What issues arose from using technical packaging in the project, and how were they resolved?"
the-era-of-aap:-ai-augmented-programming-using-only-java,0,"As we enter the era of AI-Augmented Programming (AAP), developers stand at the threshold of a profound shift in software creation and maintenance. This talk delves into the emerging paradigm where Java and Large Language Models (LLMs) are leveraged to enhance and automate various stages of the development lifecycle.We'll explore how Java and LLMs are reshaping Integrated Development Environments (IDEs) and transforming developer workflows. The presentation will demo the integration of both local and remote LLMs, demonstrating their practical applications in coding assistance, debugging, and even generating entire projects from high-level prompts.",How are Java and large language models changing the way developers use integrated development environments?
your-developer’s-intelligence-isn’t-artificial,1," culture, retention, wage policies, coaching and growth. I’ll warn you in advance: none of this is going to be easy. But at the other end of it lies a future where HR has become ‘human relations’ instead of the other meaning it usually carries. And that is worth fighting for…",What is the ultimate goal of transforming HR as mentioned in the context?
from-0-to-h-ai-ro:-unlock-the-power-of-generative-ai-with-langchain4j-and-spring-ai,0,"The JVM, especially Java, remains one of the most widely used platforms in enterprises today. But is it fit to leverage the enormous potential (generative) AI offers, with Python being the dominating language in this space? Join me for an insightful talk where we explore the leading JVM frameworks for AI: Spring AI and LangChain4j. These powerful tools enable millions of Java, Kotlin, Scala, and Groovy developers to tap into the transformative capabilities of generative AI.Discover how Spring AI and LangChain4j:- Effortlessly interact with LLMs across text, audio, images, and video.- Leverage semantic search using embeddings and vector databases.- Utilize retrieval-augmented generation (RAG) solutions and AI agents to amplify your LLM's potential with your own data and APIs.- Differ from each other and where their strengths and weaknesses lie.While building a real-world working generative AI application on the fly, all the mind-boggling concepts will be explained clearly and",What are the leading frameworks for AI on the JVM platform that allow developers to use generative AI capabilities?
"coupling,-cohesion,-and-the-blueprint-of-modern-software-design",0,"Coupling and cohesion are more than just technical terms in software architecture; they are the underlying forces that determine the success or failure of systems and organizations. But what exactly drives these principles? When does coupling turn problematic, and how can it be effectively managed?In this talk, I delve into the fundamental principles behind coupling and cohesion, using the conceptual dimensions of strength, distance, alignment, connectivity and rate of change. We'll explore how these dimensions can be classified and examine their impact on both coupling and cohesion, demonstrating how these concepts underpin many of today’s best practices in software design.By the end of this talk, you’ll uncover the power of the Formula of Pain—that reveal the inner workings of coupling and cohesion. These insights will deepen your understanding of the foundational principles behind design decisions, which can be applied across nearly every aspect of our work.",What are the conceptual dimensions that influence coupling and cohesion in software architecture?
help!-i-hate-my-teammate!,1," (or not!), get an idea of how others deal with it and what your options are if you ever find yourself in the weeds (again). In any case, you probably will be surprised by yourself or your team mate in one way or another...",What might you learn about handling unexpected situations from observing how others manage them?
confessions-of-a-shortcut-a-holic,1, experiments from absolutely essential to absurdly eccentric.,What range of experiments is discussed?
coding-a-disability-inclusive-world:-3-stories,1," interesting to invest in the other students. Lisa has more and more hassle to keep up with the rest of the class. When she is 18 she is not able to find a job. She is not able to participate in the world.Kim is 56 and has an accident with a severe brain injury. She has a lot of trouble to communicate and to understand what is happening around her. She is married with Dave, he is 66 and has a light form of dementia. The couple has a lot of difficulties navigating and living in the world where everything in real life has mandatory digital twin to access. They are not able to participate in the world.Today I'll teach you about those three persona's. 3 Persona's we unfortunately don't see enough in our day-to-day jobs and environment. I tell you, it's not because you don't see someone, they are not there! I have more than 10 years experience building digital interface for people with those kind of disabilities. It",What challenges do individuals with cognitive disabilities face when trying to navigate a highly digital world?
modernising-j-unit-with-test-data-generators,1," advanced topics like generating valid data based on JSR-380 bean validation, conditional data and benefits of property-based testing. Finally, be it simple and real looking fake data or complex object structures, be it randomness or repetition, for each situation I will explain which library to choose.",What are some of the benefits of using property-based testing in generating valid data structures?
architecting-for-tomorrow:-a-pragmatic-perspective,0,"In this session, I explore the transformation to becoming a more effective architect through pragmatism. Drawing inspiration from ""The Pragmatic Programmer"" book, I discuss the core principles of pragmatic architecture, striking a balance between complexity and simplicity. I emphasize adaptive decision-making with ""Just-in-time"" and ""Just-enough-architecture"" while promoting a culture of learning through the ""Fail-fast"" approach.I encourage architects to think big and start small, fostering adaptability with the Elsa Mindset. The Asoh Defense principle underscores the importance of taking responsibility for mistakes. Throughout, we stress the significance of effective communication in successful architectural endeavors. In conclusion, embracing pragmatism equips architects with valuable tools to make informed decisions, adapt to change, and efficiently deliver value to clients.",What core principles of pragmatic architecture are highlighted in the discussion on becoming a more effective architect?
"let’s-use-intellij-as-a-game-engine,-just-because-we-can",0,"Ever wondered what would happen if you used IntelliJ IDEA as a game engine? Probably not, but Alexander did, and it turns out, it’s absurd and a lot of fun! Join Alexander for a lighthearted yet insightful dive into the absurdness of using one of the most sophisticated IDEs to create games within your codebase because... well, why not?In this talk, Alexander will walk you through his adventure of using the IntelliJ plugin platform to implement game logic, render graphics, and more. He’ll share the head-scratching moments, the ""aha!"" breakthroughs, and the plain stupidity of making this idea work. You'll see IntelliJ handling sprites, game physics, and maybe even a rogue mutable variable trying to destroy your cursor!This session is for anyone who believes that the best projects are born from a spark of curiosity and a sense of fun. Discover how pushing the boundaries of your tools can lead to unexpected innovations and a lot of laughs along the way. After",What unique experience did Alexander create by using IntelliJ IDEA for game development?
migrating-spring-boot-apps-to-graalvm,0,"Spring Boot in Native Images are all the rage now: faster startup, stable performance and optimized resource usage, what's not to like? While it is super easy to integrate in a brand new, greenfield application, there are a few things you need to know to migrate older, already existing apps.While the Spring Ahead-Of-Time compilation process can infer a lot about an application, it is not enough. There are general patterns to follow, and common pitfalls that can be avoided.In this live demo, you will learn practical recipes for migrating an existing JVM-based Spring Boot application to Native Image, tips for improving your workflows, and how to measure the improvements Spring Native brings.",What are some considerations and tips for migrating an existing Spring Boot application to a native image?
code-coverage-mythbusters,0,"Code coverage is a compelling set of metrics that can help you improve the quality of your software, prevent potential bugs, and even help you investigate the issues.And as we know with great power comes great responsibility. When applied in the wrong way code coverage can easily transform from your best friend that can boost a developer’s productivity into your worst enemy that throws the sand in the wheels of your developers' productivity machine.After many years of answering community questions about code coverage in the JaCoCo mailing list, StackOverflow, and in the Sonar community forum we learned that most software engineers don’t understand the purpose of code coverage and how to apply it correctly. In this talk, we will dispel the most popular myths built around code coverage. This talk will help you understand the concept of code coverage, how it should be used, and how to boost your productivity with code coverage.",What is the purpose of code coverage and how can it be correctly applied to improve software quality?
a-brief-history-of-bugs,0,"After writing code that caused production issues I considered myself the worst developer in the world. But, historically, it seems I am not the only one that ever achieved that. In this talk I will go over a few small historical bugs with huge consequences.This talk refreshes your awareness of the importance of good coding standards. You probably still feel bad the next time you introduce a production issue. However, you might feel less lonely, since you’re not the only worst developer in the world.",Why might a developer feel less alone after attending this talk about historical coding mistakes?
clarifying-complexity:-boosting-developer-efficiency,0,"Down the rabbit hole - we've all been there. It's a classic consequence of misinterpreting complexity. From seemingly straightforward tasks to incomprehensible system failures - your ability to navigate varying levels of complexity is crucial for success. In this fast-paced Ignite session, I'll show how the Cynefin Framework can help you make sense of chaos. When developing software, complexity isn't just about the code. It involves context, resource availability, and interdependencies that can either speed up or slow down delivery.Learn how to avoid the rabbit hole by accurately assessing the complexity of your work and applying strategies that enhance your effectiveness.",What framework can be used to better understand and manage complex situations during software development?
are-functional-tests-the-way-to-go?,0,"At Nedap Healthcare we have some gracefully aged software. And because we often try to adopt new ideas, that code base has gone through many of the ideas of the last 25 years, including the hype where tests written in Cucumber ""would allow everyone to write tests"" (and of course spare us developers the task of having to do that ourselves).As with many hypes, that did not turn out quite as expected. Which resulted in a big set of UI tests that actually are quite fragile, will all kinds of tight coupling to the screens. Hindsight is always 20/20.So we recently revamped our UI tests and took a completely different approach: can we write test that have no coupling to the screens at all? Who describe the test in a functional or declarative style? That seems like a fairly trivial idea, but we had some worries like will those tests be fine grained enough? And cover all the scenario's that need to be tested? And of course we very much",What challenges did Nedap Healthcare face when attempting to revamp their UI tests?
the-state-of-server-side-java-webapps,0,"So, your application needs a web interface. Looking at today's trends, you might think JavaScript frameworks are reigning: React, Vue, Angular and many more. On the language axis, JavaScript got company from TypeScript, Web Assembly and even C#.But it's not all single-page applications that glitter! Of course, a single-page app delivers highly dynamic and interactive user interfaces, but at what expense? What if we revisited some of the ages past, when the server generated our web pages? Can we satisfy the ever-changing requirements of today's users for more interaction and dynamic behaviours using these patterns?Join me on a trip down memory lane so that we can appreciate server-side web applications again. We'll investigate today's options for keeping things simple. Of course, we'll see the contestants in action. This doesn't have to be boring, after all...",Why might someone consider using server-side applications instead of modern JavaScript frameworks for web interfaces?
"looking-at-music,-an-experiment-with-kotlin,-javafx,-midi,-and-virtual-threads",0,"When a nerdy dad and music-playing son join forces and start experimenting with music and code, some nice things can happen. Did you ever present your music piece in a business dashboard with charts? Did you know that the FXGL game library can be used to generate a piano with fireworks? Let's look at music with the MelodyMatrix application (https://melodymatrix.rocks/) and guide you through the process of how a small experiment turned into a full-blown project. This talk is not just about code but also features a live piano performance by a 14-year-old musician-coder. Let's have a battle between humans and machines! Who is the best piano player? The musician or a few thousand Virtual Threads? And how far can we push the app's performance to send ByteArrays to an LED strip to react to the music?   Topics in this talk: Java, Kotlin, JavaFX, Gradle, FXGL, MIDI, Vaadin, GitHub Actions, JDeploy",How does the MelodyMatrix application integrate music performance with technology like LED strips and virtual threads?
datafaker:-the-most-powerful-fake-data-generator-library,1,"data) providers- sequences (collections and stream)- date formats- expressions- transformations- unique valuesIn the end, patterns for generating better data like the Test Data Factory will also take place to add more control to the data generation.",What is a method for improving data generation to add more control?
empowering-diversity-and-inclusion-at-remote-workplaces,0,"Everyone has been having conversations about how diversity is crucial and an asset. But do we really understand it? Are we really embracing a diverse and inclusive workplace?Could we all together handle the stress from COVID-19 and the extended isolation because of remote workplace driving negative emotions in employees together as a firm? How can a diverse and inclusive workplace boost business performance consistently ? The remote workplace has changed team dynamics. Some employees are more productive while some are not, they need in person interaction. In this lecture, we will talk about how we can build a diverse and inclusive environment while working remotely to foster an open culture and everyone can adapt and innovate with flexibility. We will learn from Yahoo’s steps in building a diverse community that is empowering and a safe space for all Yahoo employees to voice their feelings, ask questions, share any concerns they have or just listen. When we listen and celebrate what is both common and different, we become a wiser, more inclusive, and better organization.",How can a diverse and inclusive remote workplace improve business performance?
we-need-you---accessibility-on-web,0,"Could you imagine going to the hospital in a wheelchair and not being able to get inside due to the 20 steps of stairs you have to take without the option of a ramp? In the Netherlands, public buildings have to be accessible, but what about web?  The reality is that using the internet is becoming more and more unavoidable, but accessibility is often an afterthought.  In this talk, I would like to show you what impact you can make. Discover a wide scope of disabilities you might not even have thought about when working on your application and which tools are available to help you and your users.",What tools can help improve accessibility for users with disabilities when working on web applications?
the-ai-elections:-how-technology-could-shape-public-sentiment,1," world where technology shapes narratives, understanding its potential and pitfalls is crucial. This talk aims to spark discourse and promote a future where technology serves societal betterment, not manipulation.",How can technology be used to benefit society rather than manipulate it?
model-mitosis:-stop-making-the-wrong-choice-between-microservices-and-monolith,1, monolith.,What is a monolith and what are some examples of it throughout history?
cracking-the-code:-ai-hallucinations-and-live-hacking,0,"Is your organization ready to transform your coding practices with generative AI tools such as Copilot, ChatGPT, or Code Whisperer? Do you know how to use these tools to boost your development speed without sacrificing security? Join this session to explore the potential and pitfalls of generative AI in coding.In this interactive session, we will discuss the risks associated with generative AI, including hallucinations and security vulnerabilities. We’ll demonstrate live coding of an application using Copilot and ChatGPT, followed by a live hacking session to expose the weaknesses in the generated code. Watch as we uncover issues like SQL injections, cross-site scripting, and directory traversal in real-time. Join us to discover how to balance speed and security in your projects and learn how to safely use GenAI's power to enhance your coding efficiency while minimizing risks.",What are some potential security risks associated with using generative AI tools for coding?
"looking-at-music,-an-experiment-with-kotlin,-javafx,-midi,-and-virtual-threads",1,",…",What is missing from the context provided?
that’s-a-wrap:-learn-storytelling-from-storytellers,0,"Mirror, mirror on the wall, why doesn’t my PO believe me at all? If you can relate to this question, I have the solution for you: storytelling. By using proven techniques to convey your story, you will soon be able to convince your PO about your marvelous ideas.  If this is not for you, you should think again because every person can learn to tell a story. Even better, you probably already know what is essential to tell a great story; you need to connect the dots in your mind. Let me help you connect those dots so that the next time, you can ask your mirror how you should name your variables.",How can storytelling help in convincing a project officer about your ideas?
coding-a-disability-inclusive-world:-3-stories,0,"Imagine you have a brother called John. He has a light form of Down Syndrome. He used to go to the bar with his friends, got some financial resources from his grandpa. Had loads of fun! Today, the world is only accessible via a digital interface. Unfortunately John is not able to use a computer with the software currently build, not able to use a smartphone with apps either. With a bitter feeling John's parents decide to put him in a home for people with disabilities. John is not able to participate in the digital world. He is not able to participate in the world at all.Lisa is a teenager on the autism spectrum. She is not the smartest of the class but she's not dumb either. She need some more time to execute the thoughts in her head. She has a brother without autism or other disabilities. Unfortunately Lisa's parents focus all the way on her brother. In school, due to time restrictions teachers only invest the bare minimum in Lisa. It seems more",What challenges does Lisa face in her educational environment and family life?
datafaker:-the-most-powerful-fake-data-generator-library,0,"Data generators in software testing play a critical role in creating realistic and diverse datasets for testing scenarios. However, they present challenges, such as ensuring data diversity, maintaining quality, facilitating validation, and ensuring long-term maintainability.While many engineers are familiar with these challenges, they often resort to non-specialized tools like the RandomStringUtils class from Apache Commons or the Random class, concatenating fixed data with it. This approach lacks scalability and may not yield a valid dataset.Thankfully we have DataFaker, a library for Java and Kotlin to generate fake data, based on generators, that can be very helpful when generating test data to fill a database, to generate data for a stress test, or to anonymize data from production services.With practical examples, you will learn how to generate data based on:- different or multiple locales- random enum values- different generators like address, code (books), currency, date and time, finance, internet, measurement, money, name, time, and others- custom (",What are some of the limitations engineers face when using non-specialized tools for data generation in software testing?
model-mitosis:-stop-making-the-wrong-choice-between-microservices-and-monolith,0,"Just as development should be iterative, software design should change when the context and our understanding of the problem evolve. As a software grows to solve more problems, it becomes less supple in its ability to evolve. Tensions arise within the business model of the software that struggles to stay coherent.Eventually it reaches a critical mass and becomes a monolith of spaghetti code. How do we know when it’s time to modularize our software? How do we carry on the decision to split it into several modules or services? How can we handle the progressive differenciation of our business models while avoiding unnecessary coupling? It’s not as easy as a clean axe cut in the middle, finding the right boundaries can be tricky.We would like to introduce the Model Mitosis, a dynamic approach used to split a business model into multiple ones that will get shaped and decoupled iteratively. Gain flexibility to choose better when to split into multiple services, and avoid paying the scale cost of microservices or becoming a distributed",What challenges arise when deciding to split a software into multiple modules or services?
build-the-best-knowledge-retriever-for-your-large-language-model.,0,"Generative AI is here to stay. Tools to generate text, images, or data are now common goods. Large Language models (LLMs) only have the knowledge they acquired through learning, and even that knowledge does not include all the details. To overcome the knowledge problem, the Retrieval Augmented Generation (RAG) pattern arose. An essential part of RAG is the retrieval part. Retrieval is not new. The search or retrieval domain is rich with tools, metrics and research. The new kid on the block is semantic search using vectors. Vector search got a jump start with the rise of LLMs and RAG.This workshop aims to build a high-quality retriever, integrate the retriever into your LLM solution and measure the overall quality of your RAG system.The workshop uses our Rag4j/Rag4p framework, which we created especially for workshops. It is easy to learn, so you can focus on understanding and building the details of the components during the workshop.",What is the purpose of using the Retrieval Augmented Generation (RAG) pattern in relation to large language models?
"let’s-use-intellij-as-a-game-engine,-just-because-we-can",1," all, the most important work we do is often the work we find the most fun. Come ready to chuckle, learn, and maybe even be inspired to try your own offbeat experiments!",What kind of work might be considered both important and fun according to the context?
are-functional-tests-the-way-to-go?,1," would like to prevent the wild growth that is present in the current tests, both in number of step definitions, as in ways to write the steps.In this talk we would like to show you how that attempt went. What issues we countered, how we solved them, and what architecture and framework we used. A lessons learned, so far.",What challenges were faced and how were they addressed in managing the growth of step definitions and writing methods?
know-your-java,0,"Really? You may wonder. This is 2024 and do we all not know Java already really well. Most of us do and yet there are so many things we tend to not realize until those things bite us in the back. This is not an introductory session on Java but one in which we will take existing code, discuss its behavior, look into surprises it holds. These are scenarios that either the speaker has stubbed his toes on or things he has been other developers stub their toes, from practical every day realistic code.",Why do developers often encounter unexpected issues in Java despite being familiar with the language?
confessions-of-a-shortcut-a-holic,0,"Consider the following dilemma. Would you rather that A - the buttons on your mouse are completely disabled, or B - every time you press a button on your keyboard, the result is not what it says on the label?When I started to have serious RSI issues in my arms 5 years ago, I knew I had to make some tough choices and change things up drastically. I started experimenting with my set-up, by trying things such as the options of the aforementioned dilemma. These set-up changes have helped me reduce straining my hands. Since then, I've tried all kinds of keyboards, layouts and shortcut optimizations, and I think it's fair to say that I'm addicted!Throughout my various adventures, I've assembled a list of do's and don'ts that I think can benefit anyone, whether you're typing with 2 fingers, or you can type over 100 words per minute blindfolded. In this talk, I will confess all about my addiction, and rank my",What kind of changes did the person make to reduce strain on their hands due to RSI issues?
pwning-your-java-service,0,"We've been developing Java services for years, but how can we ensure they're truly secure? Instead of approaching security from a builders perspective, this talk will tackle it from a breakers mindset.In this talk, we'll dive into hacking Java-based web applications. focusing on practical, real-world examples. Through code snippets and hands-on demonstrations, you'll learn step-by-step how attackers exploit vulnerabilities in Java-based web applications - and more importantly, how to defend against them. Let's explore the hackers toolkit and uncover hidden weaknesses in your Java services.",How can developers protect their Java-based web applications from hackers exploiting vulnerabilities?
"exploring-the-jvm-landscape:-java,-kotlin,-and-scala",0,"In this talk, we'll dive into the dynamic landscape of JVM languages, focusing on Java, Kotlin, and Scala. Drawing from years of experience with these languages, we'll discuss the strengths and weaknesses of each, how they've evolved over time, and how they tackle various programming challenges. Whether you're a seasoned Java developer or curious about other JVM languages, this session will provide a comprehensive comparison, showcasing different approaches to common problems and sharing insights from the broader development community. Join us for an objective and informative discussion on the state of Java, Kotlin, and Scala.","What are some of the advantages and disadvantages of using JVM languages like Java, Kotlin, and Scala?"
generative-ai-on-millions-of-lines-of-code;-a-recipe-for-success?,0,"Generative AI can be a powerful force multiplier for developers, but it also comes with limitations. Developers are expected to co-create with AI, and check the generated output, or risk hallucinations running wild. This can aid development at a local machine, but what happens when you try to apply these tools on a massive scale?At Moderne we've explored Generative AI for our users, as stewards for OpenRewrite and the Moderne Platform, to automate code changes as scale. In this talk we'll take you through our lessons learned as we tried our hand at AI, to tell you what worked, and what failed, such that you can learn from our experiences. It will be an honest look back, and brief look ahead on our process, to show you how our customers can now reliably leverage AI for code modernization.",What are some challenges developers face when using generative AI on a large scale for code modernization?
10-top-owasp-projects-beyond-the-owasp-top-10,0,"In Software development, security is no longer optional. Log4Shell, Spring4Shell, Apache Struts and various CVE's in Jenkins, XZUtils and other tools taught us it’s a necessity. While the OWASP Top 10 is widely known as the list of common security risks, there’s a wealth of other OWASP projects that can help Java developers build more secure applications. This talk, ""10 Top OWASP Projects Beyond the OWASP Top 10,"" aims to shine a spotlight on ten essential OWASP initiatives that go beyond the basics, offering tools, frameworks, and best practices tailored specifically for the modern software developer.Attendees will leave with actionable insights on how to leverage these projects to enhance their security posture, integrate robust security tools and practices into their software development lifecycle, and stay ahead of emerging threats. This session will ensure that both novice and experienced developers walk away with valuable knowledge that they can apply immediately.",What additional resources does the talk suggest Java developers can use to improve application security beyond the commonly known list of risks?
tulips-to-turmeric:-lessons-learned-from-a-global-team,1, possibilities.,What might happen in different situations depending on various potential outcomes?
how-to-get-your-team-to-care-about-code-quality,0,"In a perfect world everyone would care about code quality… But you know, deadlines happen, maybe you have a colleague who just can’t bother, or a product owner who doesn’t understand why it is important. Sara will share a variation of tools (such as SonarQube, Azure DevOps, and Mend Bolt) which lets you measure and control the quality and maintainability of your code, and how you can use them to make code quality a goal for the whole team (even non-developers!). Being aware of your code and actively working to improve it makes it easier to maintain and keeps the team sharp, and even more importantly, having everyone on board makes it a priority (instead of that story which never makes it into the sprint…).",What are some tools that can be used to measure and control code quality and maintainability?
what-bitcoin-and-minimalism-can-teach-you-about-clean-coding,0,"Minimalism is a lifestyle which focuses on simplicity and having purpose. More and more people are minimizing distractions, setting priorities and choosing quality over quantity every day. Focusing on the essential is something which can also be said about Bitcoin. This ""currency of the future"" can be viewed from many different angles. One is the economic angle, in which owners are holding on to their coins like their life depends on it. Another is the technical angle, which is complex and innovative, but slow and stable as well. In this talk we'll explore some of the principles from both bitcoin and minimalism, and see how they can be applied to coding.",How can principles from minimalism and Bitcoin be applied to the practice of coding?
